전쟁기념사업회 전쟁기념관,박물관,서울 용산구 이태원로 29,유익해요,주차하기 편해요,전시 구성이 알차요,설명이 잘 되어있어요,공간이 넓어요
빵앗간토끼,"카페,디저트",서울 용산구 한강대로15길 19-26 B1층,디저트가 맛있어요,커피가 맛있어요,친절해요,인테리어가 멋져요,음료가 맛있어요
지엠엘,카페,서울 용산구 한남대로27가길 22 3층,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요
맥심플랜트,카페,서울 용산구 이태원로 250,커피가 맛있어요,인테리어가 멋져요,대화하기 좋아요,매장이 청결해요,음료가 맛있어요
골든피스,"카페,디저트",서울 용산구 한남대로27길 25,디저트가 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요,친절해요,매장이 청결해요
쉘터 해방,"카페,디저트",서울 용산구 신흥로11길 49-12 3층,뷰가 좋아요,커피가 맛있어요,사진이 잘 나와요,친절해요,인테리어가 멋져요
포컬포인트,"카페,디저트",서울 용산구 청파로 387,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,음료가 맛있어요
더로열푸드앤드링크,"카페,디저트",서울 용산구 신흥로20길 37,뷰가 좋아요,사진이 잘 나와요,특별한 메뉴가 있어요,인테리어가 멋져요,커피가 맛있어요
헤이,카페,서울 용산구 올림픽대로 2085-96 THE RIVER 1층,뷰가 좋아요,빵이 맛있어요,커피가 맛있어요,사진이 잘 나와요,인테리어가 멋져요
해방촌 신흥시장,시장,서울 용산구 신흥로 95-9 2층,친절해요,먹거리가 풍부해요,특색 있는 제품이 많아요,방문객이 많아요,시설이 깔끔해요
브랑쿠시,"카페,디저트",서울 용산구 새창로 104,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,음료가 맛있어요,친절해요
-,-,-,-,-,-,-,-
카키문,"카페,디저트","서울 용산구 백범로99길 40 102동 106, 107호 카키문",커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,음료가 맛있어요,친절해요
-,-,-,-,-,-,-,-
올드페리도넛 한남점,도넛,서울 용산구 한남대로27길 66 2층,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,커피가 맛있어요,매장이 청결해요
이모션캐슬 잉글리시,"키즈카페,실내놀이터",서울 용산구 한강대로23길 55 아이파크몰 리빙파크 8층,테마가 재미있어요,친절해요,부모도 쉬기 좋아요,매장이 청결해요,체험 프로그램이 많아요
-,-,-,-,-,-,-,-
파이인더샵 용산점,베이커리,서울 용산구 한강대로52길 17-11 1층,빵이 맛있어요,커피가 맛있어요,음료가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요
토터스,"카페,디저트",서울 용산구 신흥로 81 1층,디저트가 맛있어요,커피가 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요,음료가 맛있어요
플랜트,카페,서울 용산구 보광로 117 2층,특별한 메뉴가 있어요,친절해요,인테리어가 멋져요,디저트가 맛있어요,대화하기 좋아요
상상스케치 아이파크몰 용산점,"키즈카페,실내놀이터",서울 용산구 한강대로23길 55 2-1 아이파크몰 해관 6층,친절해요,부모도 쉬기 좋아요,테마가 재미있어요,놀거리가 많아요,주차하기 편해요
엘카페 커피로스터스,"카페,디저트",서울 용산구 후암로 68 B1,커피가 맛있어요,친절해요,인테리어가 멋져요,음료가 맛있어요,매장이 청결해요
오설록 티하우스 1979점,차,서울 용산구 한강대로 100 아모레퍼시픽 1층,차가 맛있어요,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,대화하기 좋아요
미드스트오브플로우,카페,서울 용산구 두텁바위로1길 36,인테리어가 멋져요,커피가 맛있어요,디저트가 맛있어요,친절해요,음료가 맛있어요
식캣사인,"카페,디저트",서울 용산구 원효로83길 7-2 2층,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,음료가 맛있어요
-,-,-,-,-,-,-,-
베이커리무이,베이커리,서울 용산구 원효로81길 17 1층,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,커피가 맛있어요,매장이 청결해요
아티장베이커스 한남,베이커리,서울 용산구 한남대로18길 26 1층,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,가성비가 좋아요
-,-,-,-,-,-,-,-
포비 용산,"카페,디저트",서울 용산구 한강대로23길 55 리빙파크 4층,커피가 맛있어요,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,음료가 맛있어요
헬카페 로스터즈,"카페,디저트",서울 용산구 보광로 76 1F,커피가 맛있어요,친절해요,인테리어가 멋져요,특별한 메뉴가 있어요,디저트가 맛있어요
-,-,-,-,-,-,-,-
파리크라상 서울역점,베이커리,서울 용산구 한강대로 405 서울역사 2층 파리크라상 서울역점,빵이 맛있어요,커피가 맛있어요,특별한 메뉴가 있어요,친절해요,음료가 맛있어요
-,-,-,-,-,-,-,-
타르틴베이커리 한남점,베이커리,서울 용산구 한남대로18길 22,빵이 맛있어요,커피가 맛있어요,인테리어가 멋져요,대화하기 좋아요,매장이 청결해요
해방공원,"카페,디저트","서울 용산구 신흥로 95-7 1,2,3층,루프탑",커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,친절해요,음료가 맛있어요
네로우 패스,"카페,디저트",서울 용산구 이태원로42길 38-4,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,대화하기 좋아요
히트커피로스터스 한남,"카페,디저트",서울 용산구 이태원로 258 건물 뒤편 테라스 1층,커피가 맛있어요,디저트가 맛있어요,친절해요,인테리어가 멋져요,음료가 맛있어요
